File:         02packages.details.txt
URL:          http://www.perl.com/CPAN/modules/02packages.details.txt
Description:  Package names found in cpanfile.snapshot
Columns:      package name, version, path
Intended-For: Automated fetch routines, namespace documentation.
Written-By:   Carton v1.0.34
Amon2::Web::Dispatcher::RouterBoom undef  T/TO/TOKUHIROM/Amon2-6.13.tar.gz
Amon2::Web::Dispatcher::RouterSimple undef  T/TO/TOKUHIROM/Amon2-6.13.tar.gz
Amon2::Web::Request               undef  T/TO/TOKUHIROM/Amon2-6.13.tar.gz
Amon2::Web::Response              undef  T/TO/TOKUHIROM/Amon2-6.13.tar.gz
Amon2::Web::Response::Callback    undef  T/TO/TOKUHIROM/Amon2-6.13.tar.gz
Amon2::Web::WebSocket             undef  T/TO/TOKUHIROM/Amon2-6.13.tar.gz
Apache::LogFormat::Compiler        0.35  K/KA/KAZEBURO/Apache-LogFormat-Compiler-0.35.tar.gz
B::Hooks::EndOfScope               0.24  E/ET/ETHER/B-Hooks-EndOfScope-0.24.tar.gz
B::Hooks::EndOfScope::PP           0.24  E/ET/ETHER/B-Hooks-EndOfScope-0.24.tar.gz
B::Hooks::EndOfScope::XS           0.24  E/ET/ETHER/B-Hooks-EndOfScope-0.24.tar.gz
Bundle::DBI                    12.008696  T/TI/TIMB/DBI-1.642.tar.gz
Carp::Assert                       0.21  N/NE/NEILB/Carp-Assert-0.21.tar.gz
Carp::Assert::More                 1.16  P/PE/PETDANCE/Carp-Assert-More-1.16.tar.gz
CGI                                4.40  L/LE/LEEJO/CGI-4.40.tar.gz
CGI::Carp                          4.40  L/LE/LEEJO/CGI-4.40.tar.gz
CGI::Cookie                        4.40  L/LE/LEEJO/CGI-4.40.tar.gz
CGI::File::Temp                    4.40  L/LE/LEEJO/CGI-4.40.tar.gz
CGI::HTML::Functions              undef  L/LE/LEEJO/CGI-4.40.tar.gz
CGI::MultipartBuffer               4.40  L/LE/LEEJO/CGI-4.40.tar.gz
CGI::Pretty                        4.40  L/LE/LEEJO/CGI-4.40.tar.gz
CGI::Push                          4.40  L/LE/LEEJO/CGI-4.40.tar.gz
CGI::Util                          4.40  L/LE/LEEJO/CGI-4.40.tar.gz
Class::Accessor                    0.51  K/KA/KASEI/Class-Accessor-0.51.tar.gz
Class::Accessor::Chained           0.01  R/RC/RCLAMP/Class-Accessor-Chained-0.01.tar.gz
Class::Accessor::Chained::Fast    undef  R/RC/RCLAMP/Class-Accessor-Chained-0.01.tar.gz
Class::Accessor::Fast              0.51  K/KA/KASEI/Class-Accessor-0.51.tar.gz
Class::Accessor::Faster            0.51  K/KA/KASEI/Class-Accessor-0.51.tar.gz
Class::Accessor::Lite              0.08  K/KA/KAZUHO/Class-Accessor-Lite-0.08.tar.gz
Class::Data::Inheritable           0.08  T/TM/TMTM/Class-Data-Inheritable-0.08.tar.gz
Class::Inspector                   1.32  P/PL/PLICEASE/Class-Inspector-1.32.tar.gz
Class::Inspector::Functions        1.32  P/PL/PLICEASE/Class-Inspector-1.32.tar.gz
Class::Load                        0.25  E/ET/ETHER/Class-Load-0.25.tar.gz
Class::Load::PP                    0.25  E/ET/ETHER/Class-Load-0.25.tar.gz
Class::Singleton                    1.5  S/SH/SHAY/Class-Singleton-1.5.tar.gz
Cookie::Baker                      0.10  K/KA/KAZEBURO/Cookie-Baker-0.10.tar.gz
Cpanel::JSON::XS                   4.07  R/RU/RURBAN/Cpanel-JSON-XS-4.07.tar.gz
Cpanel::JSON::XS::Type            undef  R/RU/RURBAN/Cpanel-JSON-XS-4.07.tar.gz
Crypt::CBC                         2.33  L/LD/LDS/Crypt-CBC-2.33.tar.gz
Crypt::Rijndael                    1.13  L/LE/LEONT/Crypt-Rijndael-1.13.tar.gz
Data::MessagePack                  1.00  S/SY/SYOHEX/Data-MessagePack-1.00.tar.gz
Data::MessagePack::Boolean        undef  S/SY/SYOHEX/Data-MessagePack-1.00.tar.gz
Data::MessagePack::PP             undef  S/SY/SYOHEX/Data-MessagePack-1.00.tar.gz
Data::OptList                     0.110  R/RJ/RJBS/Data-OptList-0.110.tar.gz
Data::Page                         2.02  L/LB/LBROCARD/Data-Page-2.02.tar.gz
Data::Page::NoTotalEntries         0.02  T/TO/TOKUHIROM/Data-Page-NoTotalEntries-0.02.tar.gz
DateTime                           1.50  D/DR/DROLSKY/DateTime-1.50.tar.gz
DateTime::Duration                 1.50  D/DR/DROLSKY/DateTime-1.50.tar.gz
DateTime::Helpers                  1.50  D/DR/DROLSKY/DateTime-1.50.tar.gz
DateTime::Infinite                 1.50  D/DR/DROLSKY/DateTime-1.50.tar.gz
DateTime::Infinite::Future         1.50  D/DR/DROLSKY/DateTime-1.50.tar.gz
DateTime::Infinite::Past           1.50  D/DR/DROLSKY/DateTime-1.50.tar.gz
DateTime::LeapSecond               1.50  D/DR/DROLSKY/DateTime-1.50.tar.gz
DateTime::Locale                   1.23  D/DR/DROLSKY/DateTime-Locale-1.23.tar.gz
DateTime::Locale::Base             1.23  D/DR/DROLSKY/DateTime-Locale-1.23.tar.gz
DateTime::Locale::Catalog          1.23  D/DR/DROLSKY/DateTime-Locale-1.23.tar.gz
DateTime::Locale::Data             1.23  D/DR/DROLSKY/DateTime-Locale-1.23.tar.gz
DateTime::Locale::FromData         1.23  D/DR/DROLSKY/DateTime-Locale-1.23.tar.gz
DateTime::Locale::Util             1.23  D/DR/DROLSKY/DateTime-Locale-1.23.tar.gz
DateTime::PP                       1.50  D/DR/DROLSKY/DateTime-1.50.tar.gz
DateTime::PPExtra                  1.50  D/DR/DROLSKY/DateTime-1.50.tar.gz
DateTime::TimeZone                 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Africa::Abidjan 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Africa::Accra  2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Africa::Algiers 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Africa::Bissau 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Africa::Cairo  2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Africa::Casablanca 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Africa::Ceuta  2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Africa::El_Aaiun 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Africa::Johannesburg 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Africa::Juba   2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Africa::Khartoum 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Africa::Lagos  2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Africa::Maputo 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Africa::Monrovia 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Africa::Nairobi 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Africa::Ndjamena 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Africa::Sao_Tome 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Africa::Tripoli 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Africa::Tunis  2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Africa::Windhoek 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Adak  2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Anchorage 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Araguaina 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Argentina::Buenos_Aires 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Argentina::Catamarca 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Argentina::Cordoba 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Argentina::Jujuy 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Argentina::La_Rioja 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Argentina::Mendoza 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Argentina::Rio_Gallegos 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Argentina::Salta 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Argentina::San_Juan 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Argentina::San_Luis 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Argentina::Tucuman 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Argentina::Ushuaia 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Asuncion 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Atikokan 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Bahia 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Bahia_Banderas 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Barbados 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Belem 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Belize 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Blanc_Sablon 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Boa_Vista 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Bogota 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Boise 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Cambridge_Bay 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Campo_Grande 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Cancun 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Caracas 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Cayenne 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Chicago 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Chihuahua 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Costa_Rica 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Creston 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Cuiaba 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Curacao 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Danmarkshavn 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Dawson 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Dawson_Creek 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Denver 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Detroit 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Edmonton 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Eirunepe 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::El_Salvador 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Fort_Nelson 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Fortaleza 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Glace_Bay 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Godthab 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Goose_Bay 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Grand_Turk 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Guatemala 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Guayaquil 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Guyana 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Halifax 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Havana 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Hermosillo 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Indiana::Indianapolis 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Indiana::Knox 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Indiana::Marengo 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Indiana::Petersburg 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Indiana::Tell_City 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Indiana::Vevay 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Indiana::Vincennes 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Indiana::Winamac 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Inuvik 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Iqaluit 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Jamaica 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Juneau 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Kentucky::Louisville 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Kentucky::Monticello 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::La_Paz 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Lima  2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Los_Angeles 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Maceio 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Managua 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Manaus 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Martinique 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Matamoros 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Mazatlan 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Menominee 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Merida 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Metlakatla 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Mexico_City 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Miquelon 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Moncton 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Monterrey 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Montevideo 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Nassau 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::New_York 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Nipigon 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Nome  2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Noronha 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::North_Dakota::Beulah 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::North_Dakota::Center 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::North_Dakota::New_Salem 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Ojinaga 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Panama 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Pangnirtung 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Paramaribo 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Phoenix 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Port_au_Prince 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Port_of_Spain 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Porto_Velho 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Puerto_Rico 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Punta_Arenas 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Rainy_River 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Rankin_Inlet 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Recife 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Regina 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Resolute 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Rio_Branco 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Santarem 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Santiago 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Santo_Domingo 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Sao_Paulo 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Scoresbysund 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Sitka 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::St_Johns 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Swift_Current 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Tegucigalpa 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Thule 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Thunder_Bay 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Tijuana 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Toronto 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Vancouver 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Whitehorse 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Winnipeg 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Yakutat 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::America::Yellowknife 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Antarctica::Casey 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Antarctica::Davis 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Antarctica::DumontDUrville 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Antarctica::Macquarie 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Antarctica::Mawson 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Antarctica::Palmer 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Antarctica::Rothera 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Antarctica::Syowa 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Antarctica::Troll 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Antarctica::Vostok 2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Asia::Almaty   2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Asia::Amman    2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Asia::Anadyr   2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Asia::Aqtau    2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
DateTime::TimeZone::Asia::Aqtobe   2.21  D/DR/DROLSKY/DateTime-TimeZone-2.21.tar.gz
